[0.47303299999999998, 0.81133033333333326]
[0.4949586666666666, 0.78333133333333327]
[0.54923533333333341, 0.84444199999999991]
[0.57045200000000007, 0.79993366666666665]
[0.54382600000000003, 0.77296833333333337]
[0.41945166666666661, 0.56133233333333343]
[0.43918366666666664, 0.52337]
[0.48324600000000001, 0.52699300000000004]
[0.50690299999999999, 0.61390699999999987]
[0.45090633333333335, 0.61766999999999994]
[0.423487, 0.59813900000000009]
[0.5015679999999999, 0.49356666666666671]
[0.45120866666666665, 0.37894033333333338]
[0.45918066666666668, 0.41700033333333336]
[0.533169, 0.37098899999999996]
[0.49427500000000002, 0.35360933333333328]
[0.53165166666666674, 0.42304066666666662]
[0.50072966666666663, 0.44372100000000003]
[0.220975, 0.67318]
[0.34371466666666667, 0.73430899999999999]
[0.24531933333333333, 0.70242166666666661]
[0.23027, 0.73492800000000003]
[0.326679, 0.77933766666666671]
[0.32960633333333339, 0.69117799999999996]
[0.294012, 0.68124499999999999]
[0.25768466666666667, 0.77613699999999997]
[0.29129266666666664, 0.79859233333333324]
[0.23474566666666666, 0.8528216666666667]
[0.23109833333333332, 0.81081100000000006]
[0.19236266666666668, 0.86406733333333341]
[0.11295840000000001, 0.40660600000000002]
[0.1157494, 0.36473666666666671]
[0.078599266666666667, 0.34845700000000002]
[0.13175829999999999, 0.27251166666666671]
[0.21083199999999999, 0.399899]
[0.16611466666666666, 0.30282466666666669]
[0.17250233333333331, 0.38042199999999998]
[0.15509966666666666, 0.34719699999999998]
[0.20597733333333332, 0.291657]
[0.92531300000000005, 0.35235166666666667]
[0.94308833333333331, 0.31747733333333333]
[0.96866333333333332, 0.20826500000000001]
[0.94699366666666662, 0.16729366666666667]
[0.87248433333333342, 0.05275093333333334]
[0.49236499999999994, 0.26385166666666665]
[0.43747900000000001, 0.24461133333333332]
[0.71912333333333323, 0.058679600000000005]
[0.68540199999999996, 0.053168300000000002]
[0.70235833333333331, 0.78866166666666671]
[0.67727966666666672, 0.81355533333333341]
[0.67067699999999997, 0.85739266666666669]
[0.70132133333333335, 0.87694133333333335]
[0.85140800000000005, 0.95806500000000006]
[0.7880113333333334, 0.96955233333333324]
[0.74179899999999999, 0.93636166666666665]
[0.54906766666666662, 0.73067366666666667]
[0.52974533333333329, 0.64978299999999989]
[0.49040266666666671, 0.66817433333333331]
[0.4988413333333333, 0.70685900000000002]
[0.69741799999999998, 0.7517423333333334]
[0.84070033333333338, 0.91454800000000003]
[0.79560900000000012, 0.90605733333333338]
[0.90253633333333338, 0.47572199999999998]
[0.93801900000000005, 0.48567699999999997]
[0.9414406666666667, 0.5623189999999999]
