r0,r1,99H,100L,99to100,200H,201L,200to201,297H,298L,297to298,299H,300L,299to300
0.05,0.15,0.259575397,0.264895979,0.020289314,0.387096434,0.387180385,0.00021685,0.486383787,0.486183503,0,0.487712007,0.487945367,0.000478365
0.45,0.35,0.121542533,0.121911207,0.003028705,0.172088134,0.172690102,0.003491914,0.21965486,0.219661261,2.91E-05,0.220128168,0.220228605,0.000456164
0.4,0.1,0.138312088,0.138150668,0,0.186764623,0.224393282,0.183037505,0.258871294,0.258674674,0,0.25917037,0.259281908,0.000430271
0.15,0.35,0.161051258,0.191127612,0.170801581,0.261613486,0.261467158,0,0.310112944,0.310734491,0.002002254,0.311215695,0.311346338,0.000419696
0.2,0.45,0.141050364,0.161127807,0.132884805,0.218948467,0.219101813,0.000700133,0.258388596,0.258839379,0.001743074,0.25958958,0.259692358,0.000395846
0.35,0.15,0.148067188,0.148207779,0.00094906,0.197210676,0.231473869,0.159852707,0.28195793,0.282025352,0.000239092,0.282464178,0.282560776,0.000341923
0.05,0.2,0.224107499,0.252961679,0.120964343,0.3702845,0.370854023,0.001536885,0.466029245,0.46589791,0,0.467427052,0.467570882,0.000307659
0.25,0.45,0.138704444,0.147343557,0.060403239,0.205005532,0.205740985,0.003581054,0.250488829,0.251091104,0.002401512,0.251615544,0.251691966,0.000303677
0.1,0.1,0.270165095,0.269939215,0,0.369557621,0.369424997,0,0.452847447,0.453255442,0.000900548,0.454130922,0.45426829,0.00030244
0.45,0.5,0.115497984,0.11607433,0.004977678,0.164833197,0.164856145,0.000139207,0.206403005,0.206435473,0.000157292,0.206865771,0.206919225,0.000258366
0.1,0.05,0.281720259,0.27946109,0,0.380587745,0.381484619,0.002353776,0.48244849,0.482516266,0.000140473,0.484076262,0.484189095,0.000233061
0.4,0.25,0.133401939,0.133673302,0.002032112,0.184140495,0.187799011,0.019672642,0.245696807,0.246234175,0.002184729,0.246466259,0.246519694,0.000216782
0.25,0,0.18482644,0.184580588,0,0.234094069,0.311139352,0.282613943,0.380148205,0.380076276,0,0.380831513,0.380909126,0.000203777
0.45,0.2,0.126736532,0.126723365,0,0.177062541,0.187977362,0.059800702,0.229418707,0.229329836,0,0.229890174,0.229936315,0.000200688
