r0,r1,100H,101L,100to101,101H,102L,101to102,200H,201L,200to201,298H,299L,298to299,300H,301L,300to301,301H,302L,301to302
0.3,0.15,0.176685333,0.193146847,9%,0.193423678,0.199789102,0.032376487,0.265354208,0.265487529,0.000502302,0.309691873,0.310885991,0.003848407,0.311761316,0.349122992,0.113065706,0.349124206,0.350948099,0.005210584
0.4,0.2,0.150088389,0.162844269,8%,0.163162866,0.167881348,0.028506656,0.223873508,0.223977606,0.000464878,0.262710327,0.262861302,0.000574519,0.264007468,0.275914276,0.044105682,0.275920177,0.279356088,0.012375502
0.35,0.2,0.160260996,0.168528555,5%,0.168889787,0.173587118,0.027431521,0.230740966,0.230942171,0.000871614,0.266484991,0.26755716,0.004015297,0.267929216,0.305317987,0.130445541,0.305318242,0.307787582,0.008055185
0.2,0.1,0.222271263,0.231077255,4%,0.231616273,0.238429758,0.028990711,0.323842447,0.323522311,0,0.386609635,0.387738342,0.002915244,0.388920972,0.436399604,0.115055004,0.436402746,0.442726989,0.014387509
0.5,0.25,0.132773421,0.138470283,4%,0.138799572,0.142068021,0.023273945,0.192172215,0.191923615,0,0.231040874,0.231283701,0.001050461,0.232364805,0.233203468,0.00360275,0.233351601,0.23425447,0.003861665
0.15,0,0.261519369,0.268149314,3%,0.268781887,0.276746405,0.029199282,0.392207316,0.39278402,0.001469327,0.500540054,0.500166848,0,0.502260976,0.50190566,0,0.503586153,0.503640214,0.000107345
0.25,0.15,0.194143766,0.200346376,3%,0.200786144,0.206134367,0.026286329,0.273327739,0.273429963,0.000373927,0.313458815,0.314233754,0.002469166,0.315814485,0.393723998,0.219606167,0.393724923,0.394896048,0.002970058
0.45,0.25,0.139225696,0.143953598,3%,0.144257499,0.147798796,0.024250782,0.19957381,0.199408452,0,0.236084819,0.236229456,0.000612462,0.2373371,0.24846008,0.045792689,0.248468752,0.251294033,0.011306486
0.3,0.2,0.173111368,0.174861385,1%,0.175162975,0.179075414,0.022089299,0.236901624,0.236981683,0.000337886,0.269381215,0.270503755,0.004158439,0.271258751,0.343695111,0.235583075,0.343696377,0.344142339,0.001296705
0.4,0.25,0.147039126,0.149217266,1%,0.149475366,0.152956781,0.023022784,0.205689098,0.205495425,0,0.239359226,0.240102168,0.003099067,0.24068433,0.271027748,0.11859567,0.271028275,0.27318451,0.007924235
0.15,0.05,0.259928451,0.263319032,1%,0.263902912,0.270182258,0.023514399,0.378572936,0.378377442,0,0.479564182,0.479786295,0.000463049,0.482202547,0.483596154,0.002885916,0.484143995,0.484392349,0.000512844
0,0.25,0.184495378,0.184348316,0%,0.18554785,0.184718388,0,0.231369336,0.32610894,0.339886265,0.380811152,0.380838974,7.31E-05,0.381700748,0.381787602,0.000227518,0.382508075,0.382452081,0
0,0.3,0.165659651,0.165547766,0%,0.166569012,0.165923955,0,0.210674833,0.292913945,0.32661217,0.333800759,0.333521586,0,0.334286001,0.334328571,0.000127338,0.334622672,0.334601211,0
0.05,0.25,0.184186213,0.184034346,0%,0.185273365,0.184311366,0,0.231290207,0.320239011,0.322553372,0.377732473,0.377660242,0,0.378614114,0.378570232,0,0.37929004,0.379235543,0
0.05,0.3,0.165440438,0.165322994,0%,0.166372033,0.165635424,0,0.210611056,0.289299419,0.314809819,0.33232339,0.332094241,0,0.333024944,0.333037905,3.89E-05,0.333331705,0.333357032,7.60E-05
0,0.2,0.209734705,0.209296037,0%,0.210861243,0.209551344,0,0.261562615,0.350188264,0.289744246,0.423696058,0.42387676,0.000426398,0.424575466,0.424745736,0.000400956,0.425197248,0.425442465,0.000576548
