r0,r1,100H,101L,100to101,101H,102L,101to102,200H,201L,200to201,300H,301L,300to301,
0.0,0.05,0.320053607396,0.313061527661,0,0.32040560383,0.313436008974,0,0.446544350444,0.441707383488,0,0.548278400839,0.543623789402,0,
0.0,0.15,0.243790572789,0.242241243353,0,0.245002072251,0.242502124228,0,0.308146607146,0.368963464428,0.179636546065,0.453442415935,0.453665639445,0.00049216520299,
0.0,0.25,0.184495378253,0.18434831646,0,0.185547850181,0.184718387574,0,0.231369335835,0.326108940379,0.339886264939,0.381700748069,0.38178760162,0.000227517684427,
0.0,0.35,0.15096157838,0.150908077014,0,0.151833512969,0.151234916887,0,0.195725014693,0.258965622056,0.278169824719,0.294405653232,0.294366404542,0,
0.0,0.45,0.129252258438,0.129221423262,0,0.130207576696,0.129459785902,0,0.176258870538,0.204127501288,0.146528018952,0.236989485622,0.236942399055,0,
0.05,0.0,0.324276848511,0.317922389097,0,0.32515566578,0.318290409198,0,0.455316669988,0.449491156727,0,0.557281989053,0.551302068667,0,
0.05,0.05,0.31585834654,0.308990746714,0,0.316276725648,0.309108894208,0,0.440714838603,0.434398149298,0,0.534424735281,0.532509855015,0,
0.05,0.1,0.283798511138,0.279522015165,0,0.285059131821,0.280247358521,0,0.379750366702,0.383149383426,0.008910782114,0.478174498508,0.478921341384,0.001560643865,
0.05,0.15,0.243023334624,0.241286495852,0,0.244297373808,0.241368077479,0,0.307912542275,0.359385758331,0.154273481619,0.441895401793,0.446242122187,0.00978839487535,
0.05,0.2,0.20936956792,0.208780317498,0,0.210419018037,0.208909298728,0,0.26145194661,0.341869896092,0.266583915218,0.418213064143,0.418833748233,0.00148303316116,
0.05,0.25,0.184186213358,0.184034345716,0,0.185273365347,0.184311366469,0,0.231290206781,0.320239011309,0.322553372005,0.378614114176,0.378570231885,0,
0.05,0.3,0.165440437883,0.16532299403,0,0.166372032517,0.165635424185,0,0.210611055658,0.289299418584,0.314809818879,0.3330249435,0.333037905084,3.89200032175e-05,
0.05,0.35,0.150792080162,0.150731808312,0,0.151679734467,0.151008422266,0,0.195669188867,0.257035028934,0.27110787863,0.293680999217,0.293633850252,0,
0.05,0.4,0.13895581477,0.138959303111,2.51036401013e-05,0.139886912756,0.139187295666,0,0.184607254477,0.228104165226,0.210786077979,0.262046751113,0.261982301971,0,
0.05,0.45,0.129146792556,0.129090195347,0,0.130097243037,0.129290781022,0,0.176206676571,0.203342168089,0.142988139209,0.236706549261,0.2366477604,0,
0.05,0.5,0.120825489251,0.120552928797,0,0.12180730031,0.120790834135,0,0.169340779955,0.182516958134,0.0748949177595,0.216374803088,0.216090044928,0,
0.1,0.05,0.295848309024,0.292451284669,0,0.296516021136,0.294586648501,0,0.410041899041,0.409866633364,0,0.496747105776,0.499240270431,0.00500641818175,
0.1,0.15,0.239971735326,0.237441992894,0,0.241277753459,0.237952724687,0,0.306714560203,0.32184133459,0.0481318352513,0.382598716026,0.43423795139,0.126437113865,
0.1,0.25,0.183358985014,0.182899111835,0,0.184319958515,0.18302925344,0,0.230982046723,0.29543752363,0.244882525411,0.354432914329,0.367720574611,0.0368000999396,
